Wario Trial (Formal), 60, 120
Make new Chot, 60, 120
Learn 1 new skill from everyone, 60, 300
Make as much money as possible in set time limit, 60, 360
Shortest time to 150 heart rate and then under 95, 20, 40
Bid on and/or purchase an Illinois/federal item, 20, 50
Go to an estate sale, 50, 180
change Daniel's mind about something (time limit), 20, 20
Dig a hole as large as a hole from ""Holes"" (whole group on one hole), 100, 300
ChatGPT character Chooses, 420, 420
Karaoke, 45, 100
We all buy a toy for Remmy and play with him, 20, 60
Fox valley Mall 15 $ competition, 60, 90
Bitcoin Crash with 5+ actual dollars, 30, 60
AP Hist DBQ with custom rubric, 55,55
Fax (or contact) the office of testing integrity, 10, 30
Make a comic together, 120, 150
Volunteer at charity/community service, 60, 120
Go to a comedy show, 120, 360
standup observational comedy (us), 60, 90
Catch a fish, 30, 180
Frisbee golf, 120,120
Touch lake Michigan, 240, 240
Go to Illinois Highest point, 300, 300
karaoke, 60, 120
Try to complete a boy scout merit badge, 120, 180
Jack box, 60, 120
Build Gundam, 60, 120
Bags tounament, 90, 150
Analyze chot as art, 15, 30
Dramatic reading of wyldermyth, 60, 60
Learn how to juggle, 30, 45
Play with hot wheels, 15, 15
Win a Crane Game, 15, 30
Go to pachiko parlor, 15, 30
Race Daniel, 5, 5
Get a 100 on the D100 Ball, 5, 5
Go axe throwing, 30, 90
push up comp, 5, 10
renfare, 360, 480
